iter	Passed	Remaining
813	1171	267
814	1172	266
815	1173	264
816	1175	263
817	1176	261
818	1177	260
819	1178	258
820	1180	257
821	1181	255
822	1182	254
823	1183	252
824	1185	251
825	1186	250
826	1187	248
827	1189	247
828	1190	245
829	1191	244
830	1192	242
831	1194	241
832	1195	239
833	1196	238
834	1197	236
835	1199	235
836	1200	233
837	1202	232
838	1203	230
839	1204	229
840	1206	228
841	1207	226
842	1208	225
843	1210	223
844	1211	222
845	1213	220
846	1214	219
847	1215	217
848	1217	216
849	1218	215
850	1219	213
851	1220	212
852	1222	210
853	1223	209
854	1224	207
855	1225	206
856	1226	204
857	1228	203
858	1229	201
859	1231	200
860	1232	198
861	1233	197
862	1234	196
863	1236	194
864	1237	193
865	1238	191
866	1239	190
867	1240	188
868	1241	187
869	1243	185
870	1244	184
871	1245	182
872	1247	181
873	1248	180
874	1249	178
875	1250	177
876	1252	175
877	1253	174
878	1254	172
879	1255	171
880	1256	169
881	1257	168
882	1259	166
883	1260	165
884	1262	164
885	1263	162
886	1264	161
887	1266	159
888	1267	158
889	1268	156
890	1269	155
891	1270	153
892	1272	152
893	1273	151
894	1275	149
895	1276	148
896	1277	146
897	1278	145
898	1279	143
899	1280	142
900	1282	140
901	1283	139
902	1284	137
903	1285	136
904	1286	135
905	1288	133
906	1289	132
907	1290	130
908	1292	129
909	1293	127
910	1294	126
911	1295	125
912	1297	123
913	1298	122
914	1299	120
915	1300	119
916	1301	117
917	1303	116
918	1304	114
919	1305	113
920	1307	112
921	1308	110
922	1309	109
923	1310	107
924	1311	106
925	1312	104
926	1313	103
927	1314	101
928	1315	100
929	1316	99
930	1318	97
931	1319	96
932	1320	94
933	1321	93
934	1322	91
935	1324	90
936	1325	89
937	1326	87
938	1328	86
939	1329	84
940	1330	83
941	1331	81
942	1333	80
943	1334	79
944	1335	77
945	1336	76
946	1337	74
947	1339	73
948	1340	72
949	1341	70
950	1342	69
951	1343	67
952	1344	66
953	1345	64
954	1347	63
955	1349	62
956	1350	60
957	1351	59
958	1353	57
959	1354	56
960	1355	55
961	1356	53
962	1357	52
963	1359	50
964	1360	49
965	1361	47
966	1362	46
967	1364	45
968	1365	43
969	1366	42
970	1367	40
971	1369	39
972	1370	38
973	1371	36
974	1372	35
975	1373	33
976	1374	32
977	1375	30
978	1376	29
979	1378	28
980	1379	26
981	1380	25
982	1381	23
983	1382	22
984	1383	21
985	1385	19
986	1386	18
987	1387	16
988	1388	15
989	1389	14
990	1390	12
991	1392	11
992	1393	9
993	1395	8
994	1396	7
995	1397	5
996	1398	4
997	1399	2
998	1401	1
999	1402	0
